depths,mean_rewards,std_rewards
1,-508.09038265575356,2.5756558682042208
2,-463.44185006585576,5.1178084352825355
3,-328.2499260119389,3.7934653506516307
4,-332.6068600261341,8.231192722357106
5,-51.8533855617353,7.724683256468454
6,-93.8349956726001,5.515642786748283
7,-33.408519527347025,8.307390905404224
8,-52.03054383377263,6.424417434656622
9,-109.44692956963803,9.705012633948636
10,-27.49422026312463,11.274708255356597
11,47.46568458467053,8.608943999608808
12,7.80386769224923,7.5610231391950355
13,-32.46284472903826,7.004156139465501
14,135.6993615081659,6.324148137033694
15,55.282830207279055,11.890448519786478
