#{"t_start": 1736516343.4019222, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,2.207992
-94.240603,64,2.241996
-100.28406,101,2.287987
-303.886121,66,2.315191
-62.225048,69,2.343838
-271.899286,82,2.379798
-140.36869,84,2.410881
-284.955487,119,2.462049
-265.812776,69,2.495071
-110.020794,72,2.53006
-481.839688,97,2.575899
-75.012478,100,2.705025
-121.645225,101,3.101456
-26.943984,122,3.62531
-182.728782,120,4.098747
-337.87134,137,4.647992
-137.722605,114,5.067108
-45.26615,137,5.569093
-57.182527,104,5.943609
-155.048801,125,6.383878
-188.973671,117,6.792181
-153.077719,122,7.250742
-333.729588,228,8.085965
-108.851571,240,9.067313
-145.736114,282,10.186461
16.120761,303,11.480264
14.539129,261,12.579425
-63.968455,80,12.880426
-38.447056,425,14.749743
-5.362389,212,15.577225
-137.006456,745,19.360745
-150.82124,1000,24.027476
-133.224822,264,25.083887
-112.023513,1000,31.00444
-140.435947,1000,36.735868
-115.785909,1000,41.945133
-123.13129,1000,47.415274
-82.703599,1000,48.976357
-127.61248,1000,51.113814
-117.872357,1000,53.475336
-109.277901,1000,55.762659
-170.66289,1000,61.288066
-144.84779,1000,66.337146
-172.531249,1000,71.112756
-90.751056,1000,76.011062
-106.385086,1000,80.621997
-155.592059,1000,86.18805
-109.144797,1000,91.623984
-113.513866,150,92.336708
-131.141947,1000,97.962061
-157.438131,1000,103.394186
-56.93504,1000,108.832048
-120.740101,118,108.916822
-114.651246,1000,111.037241
-115.332108,1000,112.520952
-86.930026,1000,114.104918
-154.576305,1000,118.854885
-96.71522,1000,123.377908
-121.088209,1000,129.033815
-68.30025,1000,134.616644
-21.533302,129,135.12083
-90.862285,180,135.879213
-107.778658,106,136.294646
-63.151918,1000,140.97987
-46.58194,1000,145.58022
-1.346652,1000,151.132652
-67.653844,1000,156.151103
-59.278292,1000,161.677012
-50.712757,1000,165.839792
-25.421285,1000,168.007244
-65.579276,1000,169.017689
-468.861659,78,169.073945
-629.745055,74,169.121729
-703.997808,84,169.471042
-44.984007,123,169.943613
-77.868559,1000,174.703948
-93.087904,248,175.711118
-25.96942,1000,180.906849
-61.003349,1000,185.614352
-25.842459,1000,190.337005
-65.612149,1000,194.635283
-61.008716,1000,199.486468
-25.900755,1000,204.661967
-22.537942,1000,209.907763
-101.424505,1000,215.185835
-59.864532,1000,219.1557
160.954049,835,220.613953
-35.147515,1000,221.863835
-75.538698,1000,223.583124
-77.447796,1000,224.986245
-72.246209,1000,230.694051
-29.331731,1000,236.872546
-49.236249,1000,242.665667
-23.940027,1000,247.979489
-47.930648,1000,252.647297
-37.953337,1000,257.695351
234.608496,422,259.514971
-52.830074,1000,263.842858
-89.585169,1000,268.600833
230.454365,538,271.072856
-51.364798,1000,276.77203
2.362593,1000,278.206674
121.805943,976,279.217291
189.267588,374,279.612442
-27.658076,1000,280.680645
-162.137423,996,281.889022
